source,index,published,published_date,location,title,text,author,written_by
All News Today,603,21/3/2007,21/3/2007 0:00,"ELODIS, Kronos","GASTECH TRUCK HITS AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD","ELODIS, Kronos - A vehicle collision claimed the lives of an Elodis family, including two children Tuesday afternoon.  The family was traveling home from a school program where one of the children had performed in the Spring Program at Elodis Primary School. Elodis Assistant Police Commissioner Adian Koppolis reported three of the victims died at the scene of the accident.  Marcellus Edris, 33, his wife Valeria, 30, their daughter Celia, 7 died at the scene of the accident. The unidentified 25-year old driver of the GAStech truck was held overnight in the Elodis city jail, and then released. Commissioner Koppolis said Elodis police would conduct a full investigation.",,
All News Today,612,8/7/1999,8/7/1999 0:00,"ABILA, Kronos",MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,"Minister of Health Cesare Nespola announced he would sponsor a bill to increase taxes on foreign energy development in Kronos intended to fund environmental cleanup and improved healthcare for rural towns.  Following a series of meetings with members of the activist group Protectors of Kronos (POK) the announcement was made last week.  ""We fight for clean water, good health and now we will have the funds to make this happen"", stated POK spokesperson Carmine Osvaldo. Osvaldo invoked the memory of Juliana Vann, a 10-year old girl who died last year from leukemia due to with benzene poisoning from gas drilling operations upstream from her home. The POK formed in 1997 in response to the pollution of the Elodis water supply and the resultant sickness and subsequent deaths of local residents.",,
All News Today,617,16/5/1998,16/5/1998 0:00,"ELODIS, Kronos",ELODIS PUBLIC HEALTH FACT SHEET,"At the request of the citizens of Elodis, Wellness for All has published a report on the impact of gas drilling operations on water quality and public health.  Comparative data prior to 1998 was obtained from a thorough investigating of medical record provided by Elodis Community Health Center. Report Highlights * Elevated amounts of toxic chemicals were found in the water supply, including arsenic, acetic anhydride, benzene, and chlorine dioxide. * Persons younger than 30 appear to be suffering an unusually high rate of chronic illness associated with toxins produced by gas drilling operations.",,
All News Today,683,12/3/2009,12/3/2009 0:00,"ABILA, Kronos",POK LEADER KAREL ARRESTED,"In another unconscionable move against the citizens of Kronos, earlier today police arrested POK leader Elian Karel on spurious tax evasion charges. Demonstrating his trademark humor, Karel lifted his wrists and joked to his supporters as he is led away, ""I guess I shouldn't have sent the President those cases of bottled water for his birthday."" Karel is the leader of the Protectors of Kronos, an alliance of Kronos citizens from Elodis that has demanded the government clean up the contaminated water caused by gas drilling in their community. ""We didn't ask for GAStech to come to our community,"" Karel said at a rally a few months ago.  ""Neither Elodis nor the people of Kronos have received any benefit from the extraordinarily large amount of money that GAStech clears every year.  I ask:  Where is the money going?"" The police representative assured supporters who amassed outside the police station that Karel would be treated humanely, but declined to answer questions or allow visitors to see Karel.  F Attorney Michale Kraft plans to meet with Karel Saturday morning.",,
All News Today,698,20/6/2012,20/6/2012 0:00,"ABILA, Kronos",POK REMEMBERS MARTYRED LEADER,"In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in a Kronos jail. ""Today we gather to remember Elian Karel,"" Silvia Marek told the rapt assembly, many of whom held up white candles in Karel's honor. ""Elian was born on an Elodis farm not 40 minutes from here, to Jeroen and Antaura Karel. By the time Elian was 17 many of his family members and friends were battling constant illness, including his neighbor 10-year old Juliana Vann."" ""Elian devoted his life to the people of Elodis as well as all citizens of Kronos, as did his father before him.  Elian knew his would be a difficult journey.  He had watched his father, Jeroen and the founder of the POK, Henk Bodrogi, walk the very path he would tread.  Elian knew the course would not be easy, and would leave little time for a personal life. ""Elian's journey ended three years ago today."" Over the course of the afternoon several other speakers paid tribute to not only Elian, but all who have been victims of the environmental catastrophe brought about by greed and corruption of public officials.  The police agitated many of the crowd, causing them to have to leave the assembly rather than be assailed with batons and pepper spray.",,
All News Today,714,19/1/2014,19/1/2014 0:00,"ABILA, Kronos",A CELEBRATION OF UNFETTERED KLEPTOCRACY,Following the annual GAStech-Kronos corporate meeting GAStech executives and several high-ranking Kronos government officials will attend a celebration at the Kronos capital building to celebrate the unfettered kleptocracy that has kept Kronos public officials in mansions and luxury vehicles.,,
All News Today,753,8/9/2012,8/9/2012 0:00,"ABILA, Kronos",PROTESTS SWELL IN ABILA IN RESPONSE TO CALLS TO ACTION,"Thousands of people lined the roads on Thursday in a display of antigovernment solidarity. Among the demonstrators was Mestache Vardshvna, 23, from the west coast of Kronos.  ""This is important, so I took time off from work to be a part of this important event."" He was one of many who wielded their power of free speech to voice their concern with the current lack of government transparency with public monies. Posters with colorful images of Elian Karel and Juliana Vann were reminders of the heavy toll already paid by leaders and innocents.  Karel was the prior leader of the Protectors of Kronos before his premature death in 2009.  His death, thought to be a murder by many, prompted annul rallies to bring the message of the Protectors of Kronos to the public.  Juliana Vann died in 1998 of cancer caused by environmental toxins in her drinking water.",,
All News Today,77,21/6/2011,21/6/2011 0:00,"ABILA, Kronos",A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,"Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.  Kraft had reached an agreement with the government that charges would be reduced and the Karel be released pending a trial, but Karel died two days before he was to go free. Questions linger, however, about the manner of Karel's death.  Requests for information were met with assurances that the police,  whose custody Karel was in at the time of his death, would do everything possible to perform an exhaustive investigation.  After Karel's body was cremated and sent to his family in Elodis, the Abila Chief of Police closed the case and has declined to answer questions about Karel's death stating that ""we are satisfied the death was of natural causes and will no longer be entertaining inquiries."" As reported at the time of Karel's death, several people close to the investigation reported that Karel's body showed signs of blunt force trauma, abrasions and lacerations which were not consistent with the cause of death reported by the police. Police have denied anything unusual happened in Karel's death and city officials claim the accusations of murder and wrongful death are asserted by POK rabble-rousers attempting to incite instability and violence. Yesterday on the morning of June 19th, a small group of POK supporters gathered in front of the Abila Police Station, holding photographs of Elian, and of another young martyr, Juliana Vann, the ten-year old girl who died in 1998 from cancer caused by benzene toxins in her drinking water. ""Both of them died because of government lies and corruption,"" one man told me who asked that his name be withheld because of concerns of police retaliation.  ""Juliana died because Kronos allowed GAStech to poison our water, and Elian died because he tried to bring Juliana justice.""",,
Athena Speaks,138,By Haneson Ngohebo,20/1/2014 0:00,"ABILA, Kronos",DISAPPEARED CONFIRMED BY CONTROL FROM GASTECH,"Miriam Avila, an administrative assistant at international GAStech, confirmed that the members of the control of GAStech are in fact missing. One expected that arrives at the reception of government following the meeting of this morning to the registered offices of GAStech - of Kronos, but was never revealed the group. Mrs. Avila denied that any employee of GAStech was removed. She also denied that they had simply jumped the city with their richness recently discovered. While the world brought back on December 16, 2013, the public call to the saving initial recent international of GAStech (IPO) produced lead Sten St. George, Jr. by $1.96 eye-jumping billion for its part control of international company of drilling and exploration of gas. The control of Kronos was also liberally rewarded. The classifications of IPO prove that the executive group gained of the $327.25 collective million of the lately invested shares including/understanding $96.25 million for CFO Ingrid Barranco, CIO ADA Campo-Corrente, and t Orhan Strum. The environmental adviser of safety Willem Vasco-PAIS also gained $38.5 million. Although Mr. St. George, Jr. an office in centrum, the capital of Tethys, maintains,  the majority of international operations of GAStech take place on Kronos including the production of approximately 5 million cubic meters of gas of daily. Mrs. Avila works in the registered offices of the centrum of GAStech.",,Haneson Ngohebo
Athena Speaks,140,20/1/2014,20/1/2014 0:00,"ABILA, Kronos",TOP EVENTS WITH GASTECH,"A long day of the contradictory reports and muddling information finished. What we know for certain that 14 employees of GAStech missing, as confirmed by a source of government of Kronos. Currently it is not very clear how they disappeared  and if they are citizens of Kronos or Tethys, as many employees of GAStech are Tethan. There is speculation concerning akidnapping and if president de GAStech and ifPRESIDENT Sten St. George Jr. were the target. Currently nobody claimed the responsibility for kidnapping. Edvard Vann, GAStech, the guard of safety which was questioned and released after 6 a.m., gave the indication which the guards of Kronos were implied or at least suspectés as being the criminals behind events of today. An international director of safety of GAStech was on the building site to support research helping the department of police force of Abila and the civils servant of government of Kronos. On January 20 was the meeting of the annual company of GAStech with a reception of government of Kronos to be followed. Little time after the morning the meeting was closed with 10:00, trucks of department of fire of Abila answered the reports of a fire at the office of GAStech.",,
Athena Speaks,141,21/2/2009,21/2/2009 0:00,"ABILA, Kronos",REGISTERED OFFICES OF GASTECH BLOCKED BY POK,"A gathering of POK conceived to give the attention to the complaints of the environmental damage made more damage. The gathering apart from international registered offices of GAStech had like consequence of the multiple arrests for the infringement. Approximately two hundred people met in front of the signs of slogans and to undulate of song of building of GAStech which held the faces of the people who died allegedly because of the contamination of the environment.  Tens of the protestateurs were connected with the doors of the building in order to try to prevent employees of GAStech from going to work. To maintain order spokesman Carman of Adrien said, ""We have allowed the group certain latitude with their gathering, but when GAStech complained that the protestateurs blocked the entry with their building, we had to act.  The last thing that we wanted to produce to us was so that an employee of GAStech obtains the evil by crowd right because it tried to go to work."" The civils servant of government expressed concerns for the ""model of the increasingly aggressive tactic by the guards of Kronos."" In response to the increased aggression of the POK, additional safety will be provided to ensure public safety for all the future gatherings. GAStech refused to currently comment on indicating an official report will be published on the incident.",,
Athena Speaks,160,19/1/2014,19/1/2014 0:00,"ABILA, Kronos",TO MEET the WHOLE FOR Tomorrow morning,"With a meeting to place tomorrow at 8 AM, the public call to the saving initial recent, and PRESIDENT Sten St George, Jr. in journalists of city will be downward on the registered offices of GAStech - of Kronos in the droves with the abundance of the questions. The post of Abila will send Haneson Ngohebo, author above of the Blog scene, with the blog of phase the event with the hopes to oblige St. George, Jr. and its control of GAStech - of Kronos groups to present its observations on the IPO, their recent falls of wind, and plans of GAStech for Kronos.",,
Athena Speaks,191,21/6/2009,21/6/2009 0:00,"ABILA, Kronos",THE SPONTANEOUS PROTESTS BURST AROUND ABILA,"the protests burst around the buildings of government of Kronos, the center town, and elsewhere around Abila climbing thereafter in riots and violence. The activists protest yesterday the death of Elan Carol, a guard of activist of Kronos (POK) which died in prison after being stopped for tax avoidance. However, the protests turned violent one with the broken windows and vandalized of the stores. The innumerable windows of store were crushed in and around Siopa, the zone of workshop of the center. A direction general of chaos burst with the singing protesters, fires, and the citizens in escape. A topic of unification of the protesters was the slogans singers including/understanding ""justice for Elan"" in the reference to the activist previously mentioned Elan Carol and ""to remember Juliana"", a girl of Elodis which died allegedly into 1998 of the effects of the contamination of water. Several buildings were as well disfigured with the slogans mentioned above. The government of Kronos published a report, ""this kind of violence will not be forgiven. The destruction and violence are not any manner of carrying out peace and the change - these things are in the opposition between them. The guards of Kronos must take again peaceful means; all other approaches are unjustifiable.""",,
Athena Speaks,202,20/1/2014,20/1/2014 0:00,"ABILA, Kronos",The AIRPORT Of ABILA CONFIRMS TWO PRIVATE TRAVELS OUT OF LEFT JET TODAY,"ABILA, Kronos - the fueler Ravi Danisliau of airport of Abila confirmed that two voyage out of jet separated today after being filled with fuel. According to Danisliau, the seven or eight passengers of the first plane were ""businesses types"" and seemed to be in a hurry. It was not exactly clear where they were directed. The plane took off about local time of Kronos 12:30. The second plane also carried seven or eight ""of the businesses type"", but seemed ""more relaxed much than the first group of passengers"". Danisliau indicated the second group of passengers ""seemed to celebrate something."" The second plane left towards 14:30 around two hours after the first plane. Danisliau confirmed that the second destination of the plane was Rome, Italy. Between the two private planes, fourteen to sixteen could have been of the momentary ones. This easily could explain the departure of the control of GAStech - Kronos. Once asked whether the two planes had anything to make with GAStech, Danisliau answered, ""I do not pose many the questions. I filled of fuel right planes.""",,
Athena Speaks,220,17/10/1997,17/10/1997 0:00,"ABILA, Kronos","GOVERNMENT ACKNOWLEDGE ""MINOR"" CONTAMINATION CLOSE TO ELODIS","After complaints and the continuous calls of the people of the civils servant of government of Elodis recognize the minor contamination in and around the rural suburbs in a report on their research on the questions of the health of the townsmen. However, the report of government stops before blaming international GAStech and its site of curve of Tiskele 20 kilometers of ascending as the people of Elodis affirm. The report of government does not quote any cause of root or of the causes can be given at this time with more necessary research and investigations. Indeed, the ""pointing of a finger of blame currently would be precipitated and most probably harmful with research."" Although the report/ratio admits contamination which it goes on the qualification the statement of level, ""the minor level of the contamination is completely in conformity with international standards of health agreed by the government of international Kronos and GAStech as negotiated in the contract of site of curve of Tiskele."" The government of Kronos continues to offer to determine well the interested residents of Elodis like plans to study more far the causes from root of the diseases in and around the suburbs.",,
Athena Speaks,231,17/12/2013,17/12/2013 0:00,"ABILA, Kronos",BRONZE ATTACK OF TIME OF DAY BY POK,"The bronze attack of time of day on two leaders of peace by the POK is right another act violate and terrorist in a long cord of such acts. The two leaders were left bloody and beaten, and attach upwards in the trunk of the their vandalized the vehicle. To maintain the order Carman d' Adrien of spokesman known as of the attack, ""to attack police force property of government of leader and to destroy are serious crimes. I want to ensure the public which these men will be caught and brought to justice soon."" Other worsening the situation, the two criminals disfigured the car of the leaders by the spraying the logo of POK. If they can attack two leaders of police force in broad day, which is next?",,
Athena Speaks,255,23/11/2011,23/11/2011 0:00,,BLOTTER Of ARREST OF POLICE FORCE OF KRONOS - ABILA,"AWELON, CYNTHE/DOB: 3/20/1981/Temps of the arrest: 0003 hours/shown: IMPLEMENTS OF DRUG BLUMIAU, WILLEM/DOB: 2/15/1995/Temps of the arrest: 2215 hours/shown: POSSESSION OF ORDERED SUBSTANCE (HACHISH); FOREIGN GUARANTEE BODROGI, CARMIN/12/1/1993/Temps of arrest: 0230 hours/shown: POSSESSION OF THE ORDERED SUBSTANCE (MDMC); INTENTION TO DELIVER THE ORDERED SUBSTANCE (MDMC) COARDA, SEVE/DOB: 5/13/1979/Temps of the arrest: 1248 hours/shown: PEDESTRN DO NOT EMPLOY the PEDESTRIAN CROSSING; PEDESTRN PRONE TO THE SIGNAL CUSEMA, BRITA/DOB: 1/7/1992/Temps of the arrest: 2205 hours/shown: DEGREE OF FLIGHT SHOPLIFTING-5TH DUNNA, THAD/DOB: 9/20/1974/Temps of the arrest: 1500 hours/shown: FLIGHT ALL the DEGREE Of OTHER-3RD GUDENZ, KEL/DOB: 7/2/1995/Temps of the arrest: 1630 hours/shown: MISS MAINTAINING THE ORDER; DWLU HOLANDE, ANDA/DOB: 3/26/1981/Temps of the arrest: 0003 hours/shown: INACCURATE LIGHT OF BRAKE KIBALIAU, IYAN/DOB: 4/3/1994/Temps of the arrest: 1500 hours/shown: FLIGHT ALL the DEGREE Of OTHER-3RD MORDECAI, FRANCISCO/DOB: 3/17/1971/Temps of the arrest: 2215 hours/shown: PUBLIC INTOXICATION; POSSESSION of ORDERED SUBSTANCE (heroin) PEAIRS, MELSHA/DOB: 8/31/1952/Temps of the arrest: 1330 hours/shown: COUNTERFEIT SALANIAU, FERDINAND/DOB: 2/17/1982/Temps of the arrest: 0832 hours/shown: FLIGHT ALL the DEGREE Of OTHER-3RD; POSSESSION OF THE ORDERED SUBSTANCE (MDMA)",,
Athena Speaks,270,4/10/2000,4/10/2000 0:00,"ABILA, Kronos",VICTOIRE Of CRUMBLING FOR PRESIDENT KAPELOU,the people of Kronos elected new President Dorel Kapelou II. defeat conceded by Araullo of Former President Luis yesterday when the returns early came in fort for Kapelou II. Mark today a new start for the people of Kronos and a luminous way ahead for the country. The results for the election of October 1 are as follows: Dorel Kapelou II elected with 62% of the vote and of Shine Araullo receiving 36% of the vote just. A resounding victory for the new elected president and a clear mandate for the vision of Kapelou for the country.,,
Athena Speaks,295,18/8/2000,18/8/2000 0:00,"ABILA, Kronos",EXPLOSION AND FIRE OF CURVE OF TISKELE,"ABILA, Kronos - a spark at GAStech International well with the site of curve of Tiskele fired gas methane several hundreds of feet at the bottom, involving an aerolite and the fire which burned during approximately an hour is the results of GAStech duel - research of government on the explosion and fire Sunday next morning. Four employees of GAStech suffered from the damage including the minor burns and the broken bones. Contrary to the preceding reports there were no death because of the incident. No resident was as well wounded and although some residents of Elodis were evacuated their houses indicates that the evacuation was useless. While the official cause of the explosion is being studied, the problem could have come from a defect in the wellhead itself. The wellheads of GAStech are ringed with the collars which placed pins functioning by them. One of the pins could have blown out of the collar, releasing the gas, which then contacted a spark.",,
Athena Speaks,354,14/3/2009,14/3/2009 0:00,"ABILA, Kronos",THE CHIEF OF STOPPED POK,"Elan Carol, the charismatic chief of the guards of Kronos, was stopped today on expenses of tax avoidance. Michale Kraft, the lawyer of Carol, released a report/ratio affirming that the expenses levelled against its customer were ""false"" and that it hoped for his customer ""would be released [guard of police force] by the end of the week."" Carman d' Adrien of spokesman of police force answered the report/ratio by Kraft, stating, ""I think that Mr. Kraft underestimated serious situation of his customer. We had followed his group of near during a certain time."" Last month just, the group of Carol was responsible for the incident of infringement which blocked the entry with the registered offices of GAStech - of Kronos. President and PRESIDENT Sten St. George, Jr. of GAStech the POK like terrorists condemned.",,
Athena Speaks,383,26/9/2005,26/9/2005 0:00,"ELODIS, Kronos",TURN OF PROTESTS Of ELODIS TO the RIOTS AND the ARRESTS,"The guards of Kronos (POK) continue to protest against the pollution of international allegation of government and GAStech de Kronos, the contamination of water and a lack of a response of government. Recently the protests transformed the violent climbing into being assembled mainly directed to the site of curve of Tiskele. The last event made take part protesters of POK forming a human chain to block the entry of the site of curve of Tiskele de GAStech. After assembling itself recent, the civils servant of government did not have any choice, but with high round the protesters and stop them for the infringement. The spokesman Rufus Drymiau of government commented on, ""that those the kind of actions force by members of the guards of Kronos are counterproductive. We work - the government and GAStech - to assure us that all the environmental questions are solved."" Several examples to assemble itself in and around Elodis were reported including/understanding trashing buildings of government, the launching of rock, and the burnings of tire. The police force answered quickly and decisively. The various skirmishes with the police force finished in the arrests.",,
Athena Speaks,405,15/6/2010,15/6/2010 0:00,"ABILA, Kronos",BIRTHDAY OF THE PROTESTS,"The spontaneous protests and riots last year burst around Abila in answer to died of Elan Carol, of the guards of activist of Kronos (POK). The civils servant fear a repetition of the violent activities of last year around the city on the nearest birthday of died of Carol on June 19. The civils servant of government published a declaration ensuring the people of Abila which them ""safety is of primary importance. To approach your business as usual. The groups like the guards of Kronos operate by fear, trying to change the lives and the government by fear. Your government will not support to the bottom fear-mongering."" The short report of government finished there with a promise not to support to the bottom with the protesters, if there are indeed protests. Hagar Awelon, one to make of the shopping-owner in the zone of Siopa d' Abila strongly carried out by the events of last year, answered the report of government: ""They [government of Kronos] must make more than they made last year. My windows were broken, my destroyed goods or were flights, and my son was attacked when it defended the store. They must make more.""",,
Athena Speaks,433,15/5/2011,15/5/2011 0:00,"ABILA, Kronos",ARRESTS CONNECTED BY DRUG ON RISE,"A new alarming tendency sweeps Abila. The police force specifies a dramatic increase in the arrests connected by drug which can be related to the violent one groups of activist. The port of Abila is known to be a point of transshipment for drugs coming the active Middle East and of Africa to heroin and the hachish from Europe in particular. However, drug connected arrests had remained punt during the decade spent until the recent increase. The concern above the increase in the arrests connected by drug is double: first, the violent one groups of activist such as the guards of Kronos could employ sales of drug as means of placing their activities; and in the second place, with more drugs appearing on the shore, the people of Kronos will suffer the questions connected by drug increased, namely leaning and violence.",,
Athena Speaks,466,20/1/2014,20/1/2014 0:00,"ABILA, Kronos","EMPLOYEE OF QUESTIONED GASTECH, RELEASED","During roughly 6 hours employed Edvard Vann de GAStech - of Kronos was questioned by Kronos Police and civils servant of government before being released with 17:00 this evening. Apparent confusion comes from the similarity between its name and that from a guard from member from Kronos. Vann, a guard of safety for GAStech, was furious, stating, ""I do not have anything to make some with any member of group POK of terrorist. I do not know anybody of Elodis. I was born here in Abila and I support my government and my president. Is being marked and being questioned during 6 hours as a member of terrorist POK one of the worst days of my life. Just because a person has the same name as a criminal does not make him with a criminal."" Although it was charged not to communicate with the pressure that Vann was determined to subject to a constraint its innocence. With approximately 14 still unexplained  missing employees of GAStech, one cannot blame the police force or the government not to leave any stone unturned.",,
Athena Speaks,48,11/4/2007,11/4/2007 0:00,"ABILA, Kronos",ACCIDENT OF TRAFFIC CLOSE TO ELODIS,"A government investigation concluded that an accident between a GAStech vehicle and an Elodis family, which killed all four members of the Elodis family, was caused by driver error by the Elodis driver. The spokesman Rufus Drymiau of the Kronos government said that research found the fatalaccident was started when the driver of Elodis crossed into oncoming traffic. Three occupants - Valeria Edris, Celia Edris, and Marcellus Edris - died in the scene. armine Edria, 9, was found wndering around the accident site. He succumbed to his injuries later at the hospital of Abila. The driver of truck of GAStech received minor injury and was taken at the hospital for observations. In an exposure of the international wishes of GAStech of generosity of corporation to give the money to the remaining members of family.",,
